id,"datetime",lat,lon,"train_number","next_station","delay","vehicle_type","vehicle_type_abbr","destination"
202003,"1537538367000",52.389625,6.13998,"3669","Wijhe","PT0S","Intercity","IC","Roosendaal"
202005,"1537538377000",52.0885366667,5.11138333333,"11760","Utrecht Centraal","PT0S","Intercity","IC","Den Haag Centraal"
202006,"1537538378000",52.1539566667,5.37129666667,"1562","Amersfoort","PT5M","Intercity","IC","Amsterdam Centraal"
202007,"1537538374000",52.102721547535,4.3964401570105,"6354","Voorschoten","PT0S","Sprinter","SPR","Haarlem"
202008,"1537538370000",52.2253516667,5.18273333333,"1563","Hilversum","PT10M","Intercity","IC","Deventer"
202010,"1537538374000",52.2573433333,6.16055016667,"1661","Deventer","PT0S","Intercity","IC","Enschede"
202012,"1537538371000",52.3238233333,4.93637916667,"2471","Duivendrecht","PT0S","Intercity","IC","Dordrecht"
202013,"1537538375000",51.981095027426,4.3700673353878,"5067","Rotterdam Centraal","PT0S","Sprinter","SPR","Dordrecht"
202014,"1537538373000",52.023201772323,5.5452812613033,"7461","Veenendaal Centrum","PT0S","Sprinter","SPR","Rhenen"
202015,"1537538376000",52.3891375,6.1396425,"3656","Wijhe","PT0S","Intercity","IC","Zwolle"
202018,"1537538369000",52.337866219083,4.8532703898164,"4365","Amsterdam Zuid","PT0S","Sprinter","SPR","Almere Oostvaarders"
202023,"1537538374000",51.566885,5.039055,"3664","Tilburg","PT0S","Intercity","IC","Zwolle"
202027,"1537538373000",52.125590588409,5.1460691060533,"4961","Utrecht Overvecht","PT0S","Sprinter","SPR","Utrecht Centraal"
202028,"1537538369000",52.061945,4.31111,"2267","Den Haag HS","PT0S","Intercity","IC","Amsterdam Centraal"
202030,"1537538368000",52.388212474002,4.6393937507228,"4867","Haarlem","PT0S","Sprinter","SPR","Heerhugowaard"
202033,"1537538374000",52.1697616667,4.48641333333,"2469","Leiden Centraal","PT0S","Intercity","IC","Dordrecht"
202034,"1537538376000",52.344900669106,4.9181270203982,"4067","Duivendrecht","PT0S","Sprinter","SPR","Rotterdam Centraal"
202035,"1537538373000",51.3511493333,5.59412983333,"6468","Heeze","PT0S","Sprinter","SPR","Tilburg Universiteit"
202038,"1537538372000",52.388034442775,4.6364846402154,"4854","Haarlem","PT0S","Sprinter","SPR","Amsterdam Centraal"
202039,"1537538368000",52.378846546381,4.9018246836349,"5858","Amsterdam Centraal","PT0S","Sprinter","SPR","Hoofddorp"
202041,"1537538375000",51.814694878864,4.6424237509947,"5065","Zwijndrecht","PT0S","Sprinter","SPR","Dordrecht"
202042,"1537538373000",51.95174,4.55309166667,"2867","Rotterdam Alexander","PT0S","Intercity","IC","Utrecht Centraal"
202044,"1537538376000",52.2409498333,6.1086225,"7064","Twello","PT0S","Sprinter","SPR","Apeldoorn"
202045,"1537538371000",51.815319670455,4.6413036747349,"5060","Zwijndrecht","PT0S","Sprinter","SPR","Den Haag Centraal"
202046,"1537538377000",52.3216383333,4.92741666667,"3565","Amsterdam Bijlmer ArenA","PT0S","Intercity","IC","Venlo"
202049,"1537538369000",52.3609283333,4.93062833333,"3065","Amsterdam Amstel","PT0S","Intercity","IC","Nijmegen"
202055,"1537538370000",52.0144388333,4.753116,"2058","Gouda","PT0S","Intercity","IC","Den Haag Centraal"
202058,"1537538374000",52.0959783333,5.10116166667,"865","Utrecht Centraal","PT0S","Intercity","IC","Maastricht"
202059,"1537538370000",51.583704,4.92568666667,"6662","Gilze-Rijen","PT0S","Sprinter","SPR","Arnhem Centraal"
202061,"1537538374000",52.0777433333,4.64680333333,"8756","Boskoop","PT0S","Sprinter","SPR","Alphen a/d Rijn"
202062,"1537538374000",51.921955,4.43411166667,"2458","Schiedam Centrum","PT0S","Intercity","IC","Lelystad Centrum"
202066,"1537538368000",52.329924419938,4.7975976420948,"4656","Schiphol Airport","PT5M","Sprinter","SPR","Den Haag Centraal"
202070,"1537538372000",51.5098851667,5.389388,"5266","Best","PT0S","Sprinter","SPR","Tilburg Universiteit"
202071,"1537538379000",51.6555131667,5.2920335,"9662","Vught","PT0S","Sprinter","SPR","'s-Hertogenbosch"
202072,"1537538375000",51.475925,5.66539666667,"3559","Helmond","PT0S","Intercity","IC","Venlo"
202076,"1537538372000",51.8424568333,5.85183,"7662","Nijmegen","PT0S","Sprinter","SPR","Wijchen"
202078,"1537538373000",51.4952333333,3.618445,"2248","Middelburg","PT0S","Intercity","IC","Vlissingen"
202080,"1537538377000",52.6926383333,4.839305,"3069","Heerhugowaard","PT0S","Intercity","IC","Nijmegen"
202082,"1537538374000",52.165619793569,5.3918159895091,"15862","Amersfoort","PT0S","Sprinter","SPR","Amsterdam Centraal"
202086,"1537538371000",52.224619304163,5.1834381596386,"5760","Hilversum Media Park","PT0S","Sprinter","SPR","Hoofddorp"
202087,"1537538377000",52.3750966667,5.21680666667,"1860","Almere Centrum","PT0S","Intercity","IC","Den Haag Centraal"
202088,"1537538370000",52.7911733333,6.11611,"9066","Steenwijk","PT5M","Sprinter","SPR","Meppel"
202089,"1537538371000",52.005599,5.79301183333,"7562","Wolfheze","PT0S","Sprinter","SPR","Ede-Wageningen"
202090,"1537538376000",52.9883073333,5.881468,"666","Heerenveen","PT0S","Intercity","IC","Rotterdam Centraal"
202091,"1537538377000",52.1264575,4.60780716667,"8858","Leiden Lammenschans","PT5M","Intercity","IC","Leiden Centraal"
202092,"1537538377000",52.064078402508,5.3706543691887,"7363","Maarn","PT0S","Sprinter","SPR","Rhenen"
202095,"1537538369000",52.388993173941,4.847314095206,"5473","Amsterdam Sloterdijk","PT0S","Sprinter","SPR","Zandvoort aan Zee"
202098,"1537538377000",52.3124633333,4.94729666667,"3560","Amsterdam Bijlmer ArenA","PT0S","Intercity","IC","Schiphol Airport"
202099,"1537538372000",52.324091642569,4.9363870736134,"4058","Amsterdam Amstel","PT0S","Sprinter","SPR","Uitgeest"
